code;name;unit;location;activity type;reference product;database;production amount;material_group;ISIC;CPC
1c7991ecc8c723e26fe0083642dbf06b;market for electricity, low voltage;kilowatt hour;DO;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
e836b7c5ee357b2c44230e726c0839df;market for electricity, medium voltage;kilowatt hour;RO;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
8e596163692270585038f5864281fff2;market for electricity, high voltage;kilowatt hour;CA-MB;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
2921e4d14f7e4c82bd64bf2e8de47a8c;market for electricity, low voltage;kilowatt hour;CN-NCGC;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
68060e4568614e460f7f9891f54c99b4;market for water, ultrapure;kilogram;RoW;market activity;water, ultrapure;apos391;1.0;water;3600:Water collection, treatment and supply;34: Basic chemicals
d1a0b1a8e24d8d0664a72b072c9ec54e;market for electricity, medium voltage;kilowatt hour;GI;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
193a2585c106466c40e85c10a1f51150;market for electricity, high voltage;kilowatt hour;GR;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
893746dbc5352768c83130c099bae0fa;market for electricity, high voltage;kilowatt hour;BG;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
3fb58bfe1022e897de4fe5ea2a438b14;market for electricity, low voltage;kilowatt hour;FI;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
58613fb8bd9eb87bda7fb36ef49a25f1;market for electricity, medium voltage;kilowatt hour;CA-NU;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
759882b2fcea61ab90a9745fed61d4e4;market for electricity, medium voltage;kilowatt hour;IL;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
ee332cdfdd20a45859ee2793c645f086;market for electricity, high voltage;kilowatt hour;MD;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
