code;name;unit;location;reference product;database;production amount;material_group;ISIC;CPC
eacedad7d6194204a48343170ddea93d;market for cement, unspecified;kilogram;LAM;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
c6343bbacf6112213284c0b0c2d1cfc0;market for electricity, high voltage;kilowatt hour;GI;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
c3f8dcd117ff5691f137f0957f08e412;market for strontium sulfate, 90% SrSO4;kilogram;GLO;strontium sulfate, 90% SrSO4;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;strontium;0729:Mining of other non-ferrous metal ores;14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
d1209a1c88bfcdc9fcb8f31c487f0b3d;market for rare earth carbonate concentrate;kilogram;GLO;rare earth carbonate concentrate;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;rare earth;0729:Mining of other non-ferrous metal ores;34290: Compounds of rare earth metals, of yttrium or of scandium
4f62264f59fcb7cf37465428cf6ead31;market for electricity, medium voltage;kilowatt hour;EE;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
dc8d0f06af3874b8c214e6df0e55fdd1;market for natural gas, low pressure;cubic meter;IT;natural gas, low pressure;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
aa76fa2c276f7341525fa2ba4e34bd0f;market for electricity, medium voltage;kilowatt hour;TM;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
1b83c7f615a550ec01fedaf0debc37f2;market for electricity, medium voltage;kilowatt hour;CN-ECGC;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
06df42fe5565efb1fce78ec1eb39e049;market for electricity, medium voltage;kilowatt hour;CA-NB;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
1a07bf6d0564b49db80ab54f5dc3f2c1;market for natural gas, high pressure;cubic meter;GR;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
c8ee676fccf103d92d20e95fe96f0ac6;market for electricity, high voltage;kilowatt hour;BN;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
c6c3de2e2543824b0a2c36e906adf7fd;market for electricity, low voltage;kilowatt hour;IN-North-eastern grid;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
2c88004ab650179378c4fc82f1dfafe6;market for electricity, high voltage;kilowatt hour;MY;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
d8f5108ed7e7ac42c12d5888cc9f5fc6;market for electricity, high voltage;kilowatt hour;CA-NF;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
4e2be66714e03521b81d7d93cff67d9d;market for natural gas, high pressure;cubic meter;MY;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
3300ab6d0f92f13ac49476c4d869b881;market for electricity, low voltage;kilowatt hour;CY;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
84c52a94bf58be855ac22e6a538a16ba;market for natural gas, high pressure;cubic meter;PL;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
e88d630d212aae3e62d77689310ee8de;market for natural gas, high pressure;cubic meter;SK;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
d3f2289e4e89dbe20caf6a048272b8d3;market for electricity, medium voltage;kilowatt hour;SA;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
2d91769e44a298a832ab2c20ae8fd5d0;market for electricity, high voltage;kilowatt hour;AR;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
227a6a7868e557ed3fb001de457c6906;market for electricity, low voltage;kilowatt hour;DK;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
4c1696be0f1e44618e85e1dcbffcf6a4;market for electricity, medium voltage;kilowatt hour;UZ;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
90aa1cf7ab6b25320d33a20c3150da18;market for platinum;kilogram;GLO;platinum;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;platinum;2420:Manufacture of basic precious and other non-ferrous metals;41330: Platinum, unwrought or in semi-manufactured forms, or in powder form
a718974956c85135e0020ff9b0019f06;market for electricity, low voltage;kilowatt hour;QA;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
160194493d01c6ba3b3048c2147c9378;market for natural gas, high pressure;cubic meter;BE;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
e6120eab8a62433e82c83050b130c48a;market for natural gas, high pressure;cubic meter;MEA;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
e1c8c219dc68ab7baec1cfbd95390659;market for electricity, low voltage;kilowatt hour;NI;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
8ebce14c4dbd6e60d295df64d7d85f2d;market for electricity, medium voltage;kilowatt hour;CA-BC;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
074e0535170a0d199bf090f784bb7fcc;market for electricity, low voltage;kilowatt hour;BY;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
6c52fcafcd8f30f5288d933e9a5c7692;market for electricity, medium voltage;kilowatt hour;LK;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
8baa6bd9f7cb7e3c25687095ee58be67;market for electricity, medium voltage;kilowatt hour;CR;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
3788cf84e2deef3b75ed57d6489075a2;market for electricity, medium voltage;kilowatt hour;XK;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
d47c39dc77b1610aa529df46525cf5f3;market for electricity, low voltage;kilowatt hour;US-NPCC;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
31de3d57f50a3c9352f104dcd5bb52f7;market for electricity, high voltage;kilowatt hour;MX;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
