code;name;unit;location;reference product;database;production amount;material_group;ISIC;CPC
391ef6581ff8b52c9cefbb7af4d72fbe;market for cement, unspecified;kilogram;CO;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
2f3da839f70e544e18c132d6794f9286;market for natural gas, high pressure;cubic meter;EC;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
257fcd6c26c5d572b77099887f9b31ea;market for natural gas, high pressure;cubic meter;BR;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
105d34b6b34a5de233596a08ebb30578;market for scandium oxide;kilogram;GLO;scandium oxide;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;scandium;2420:Manufacture of basic precious and other non-ferrous metals;34290: Compounds of rare earth metals, of yttrium or of scandium
5745ee2781f049509c619f07111f1c5f;market for natural gas, high pressure;cubic meter;NEU;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
5fed8897b6854d80a7b6c5b83f6e0094;market for natural gas, high pressure;cubic meter;REF;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
3e30c3faf44cedb720e45de628f4ece8;market for bauxite;kilogram;GLO;bauxite;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;bauxite;0729:Mining of other non-ferrous metal ores;14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
c02beff0c0df4fb1850fd3a42a2691a9;market for cement, unspecified;kilogram;IND;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
14c93a6106e639bb246c06f0a84e2dc7;market for rare earth oxide concentrate, 50% REO;kilogram;GLO;rare earth oxide concentrate, 50% REO;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;rare earth;0729:Mining of other non-ferrous metal ores;34290: Compounds of rare earth metals, of yttrium or of scandium
6d673652ae29f74dc59fb0fc229bf6db;market for copper, anode;kilogram;GLO;copper, anode;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;copper;2420:Manufacture of basic precious and other non-ferrous metals;"41412: Unrefined copper; copper anodes for electrolytic refining"
ffa4308820ee99e0ed078d95d529d837;market for petroleum;kilogram;Europe without Switzerland;petroleum;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;petroleum;4661:Wholesale of solid, liquid and gaseous fuels and related products;12010: Petroleum oils and oils obtained from bituminous minerals, crude
83340827e5d56303fce37c70c44d3e38;market for natural gas, low pressure;cubic meter;NL;natural gas, low pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
40dd566f1c796455cbd281a2de5f44a5;market for phosphate rock, beneficiated;kilogram;US;phosphate rock, beneficiated;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;phosphate rock;0891:Mining of chemical and fertilizer minerals;34629: Other phosphatic fertilizers, n.e.c.
a1efd43d1cb0bb60e73776540e2b96e1;market for natural gas, low pressure;cubic meter;US;natural gas, low pressure;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
a6f3597a3c9245b47db59643f4def5e5;market for silicon tetrahydride;kilogram;GLO;silicon tetrahydride;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;silicon;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
36ee255c9326a9287812b59994bac393;market for hafnium tetrachloride;kilogram;GLO;hafnium tetrachloride;ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030;;hafnium;2420:Manufacture of basic precious and other non-ferrous metals;342: Basic inorganic chemicals n.e.c.
