('12/11/2023, 14:57:51', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_lithium', 'additions', 52, 'duration:', '0:08:30.566662')
('12/11/2023, 14:57:57', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_magnesium', 'additions', 312, 'duration:', '0:08:36.587129')
('12/11/2023, 14:58:48', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_natural gas', 'additions', 2897, 'duration:', '0:09:27.518124')
('12/11/2023, 14:58:55', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_nickel', 'additions', 434, 'duration:', '0:09:34.773066')
('12/11/2023, 14:58:55', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_palladium', 'additions', 35, 'duration:', '0:09:35.408263')
('12/11/2023, 14:59:04', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_petroleum', 'additions', 507, 'duration:', '0:09:44.119378')
('12/11/2023, 14:59:08', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_phosphate rock', 'additions', 207, 'duration:', '0:09:47.755707')
('12/11/2023, 14:59:11', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_platinum', 'additions', 169, 'duration:', '0:09:50.604886')
('12/11/2023, 14:59:11', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_rare earth', 'additions', 37, 'duration:', '0:09:51.243336')
('12/11/2023, 14:59:11', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2025', 'MaterialFootprint_rhodium', 'additions', 11, 'duration:', '0:09:51.434909')
